symbol,name,destAddresses,sourceAddress,coingeckoId,logo,ethAddress,ethMarkets,terraAddress,terraMarkets,bscAddress,bscMarkets,maticAddress,maticMarkets,avaxAddress,avaxMarkets,oasisAddress,oasisMarkets,source,solAddress,solMarkets
ATLAS,Star Atlas (Wormhole),"{'eth': '0xb9F747162AB1E95d07361f9048BcDF6eDdA9eEA7', 'terra': 'terra1rg8f993m9834afwazersesgx7jjxv4p87q9wvc', 'bsc': '0x83850D97018f665EB746FBb8f18351e977d1b0D6'}",ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,star-atlas,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx/logo.png,0xb9F747162AB1E95d07361f9048BcDF6eDdA9eEA7,,terra1rg8f993m9834afwazersesgx7jjxv4p87q9wvc,,0x83850D97018f665EB746FBb8f18351e977d1b0D6,['pancakeswap'],,,,,,,sol,,
AURY,Aurory (Wormhole),{'bsc': '0xF5a367b7809e5683538C93Ce638B9258A0B88271'},AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,aurory,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP/logo.png,,,,,0xF5a367b7809e5683538C93Ce638B9258A0B88271,['pancakeswap'],,,,,,,sol,,
RAY,Raydium (Wormhole),"{'eth': '0xE617dd80c621a5072bD8cBa65E9d76c07327004d', 'terra': 'terra1ht5sepn28z999jx33sdduuxm9acthad507jg9q', 'bsc': '0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8'}",4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,raydium,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R/logo.png,0xE617dd80c621a5072bD8cBa65E9d76c07327004d,,terra1ht5sepn28z999jx33sdduuxm9acthad507jg9q,,0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8,['pancakeswap'],,,,,,,sol,,
SBR,Saber (Wormhole),"{'terra': 'terra17h82zsq6q8x5tsgm5ugcx4gytw3axguvzt4pkc', 'bsc': '0x75344E5693ed5ecAdF4f292fFeb866c2cF8afCF1'}",Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,saber,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1/logo.svg,,,terra17h82zsq6q8x5tsgm5ugcx4gytw3axguvzt4pkc,,0x75344E5693ed5ecAdF4f292fFeb866c2cF8afCF1,,,,,,,,sol,,
SOL,SOL (Wormhole),"{'eth': '0xD31a59c85aE9D8edEFeC411D448f90841571b89c', 'terra': 'terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk', 'bsc': '0xfA54fF1a158B5189Ebba6ae130CEd6bbd3aEA76e', 'avax': '0xFE6B19286885a4F7F55AdAD09C3Cd1f906D2478F', 'matic': '0xd93f7e271cb87c23aaa73edc008a79646d1f9912'}",So11111111111111111111111111111111111111112,solana,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/So11111111111111111111111111111111111111112/logo.png,0xD31a59c85aE9D8edEFeC411D448f90841571b89c,['uniswap'],terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk,,0xfA54fF1a158B5189Ebba6ae130CEd6bbd3aEA76e,['pancakeswap'],0xd93f7e271cb87c23aaa73edc008a79646d1f9912,['quickswap'],0xFE6B19286885a4F7F55AdAD09C3Cd1f906D2478F,['traderjoe'],,,sol,,
SRMso,Serum (Wormhole from Solana),"{'eth': '0xE3ADAA4fb7c92AB833Ee08B3561D9c434aA2A3eE', 'terra': 'terra1dkam9wd5yvaswv4yq3n2aqd4wm5j8n82qc0c7c', 'bsc': '0x12BeffdCEcb547640DC30e1495E4B9cdc21922b4'}",SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,serum,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,0xE3ADAA4fb7c92AB833Ee08B3561D9c434aA2A3eE,,terra1dkam9wd5yvaswv4yq3n2aqd4wm5j8n82qc0c7c,,0x12BeffdCEcb547640DC30e1495E4B9cdc21922b4,,,,,,,,sol,,
USDCso,USD Coin (Wormhole from Solana),"{'eth': '0x41f7B8b9b897276b7AAE926a9016935280b44E97', 'terra': 'terra1e6mq63y64zcxz8xyu5van4tgkhemj3r86yvgu4', 'bsc': '0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0', 'avax': '0x0950Fc1AD509358dAeaD5eB8020a3c7d8b43b9DA', 'matic': '0x576cf361711cd940cd9c397bb98c4c896cbd38de'}",EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,0x41f7B8b9b897276b7AAE926a9016935280b44E97,['uniswap'],terra1e6mq63y64zcxz8xyu5van4tgkhemj3r86yvgu4,,0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0,['pancakeswap'],0x576cf361711cd940cd9c397bb98c4c896cbd38de,['quickswap'],0x0950Fc1AD509358dAeaD5eB8020a3c7d8b43b9DA,,,,sol,,
USDTso,Tether USD (Wormhole from Solana),"{'eth': '0x1CDD2EaB61112697626F7b4bB0e23Da4FeBF7B7C', 'terra': 'terra1hd9n65snaluvf7en0p4hqzse9eqecejz2k8rl5', 'bsc': '0x49d5cC521F75e13fa8eb4E89E9D381352C897c96', 'avax': '0xF0FF231e3F1A50F83136717f287ADAB862f89431', 'matic': '0x3553f861dec0257bada9f8ed268bf0d74e45e89c'}",Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,0x1CDD2EaB61112697626F7b4bB0e23Da4FeBF7B7C,['uniswap'],terra1hd9n65snaluvf7en0p4hqzse9eqecejz2k8rl5,,0x49d5cC521F75e13fa8eb4E89E9D381352C897c96,['pancakeswap'],0x3553f861dec0257bada9f8ed268bf0d74e45e89c,['quickswap'],0xF0FF231e3F1A50F83136717f287ADAB862f89431,,,,sol,,
mSOL,Marinade staked SOL (Wormhole),"{'eth': '0x756bFb452cFE36A5Bc82e4F5f4261A89a18c242b', 'terra': 'terra1qvlpf2v0zmru3gtex40sqq02wxp39x3cjh359y'}",mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,marinade-staked-sol,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So/logo.png,0x756bFb452cFE36A5Bc82e4F5f4261A89a18c242b,,terra1qvlpf2v0zmru3gtex40sqq02wxp39x3cjh359y,,,,,,,,,,sol,,
1INCH,1INCH Token (Wormhole from Ethereum),{'sol': 'AjkPkq3nsyDe1yKcbyZT7N4aK4Evv9om9tzhQD3wsRC'},0x111111111117dC0aa78b770fA6A738034120C302,1inch,,,,,,,,,,,,,,eth,AjkPkq3nsyDe1yKcbyZT7N4aK4Evv9om9tzhQD3wsRC,['dexlab']
1SOL,1sol.io (Wormhole),{'sol': '4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF'},0x009178997aff09a67d4caccfeb897fb79d036214,1sol,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF/logo.png,,,,,,,,,,,,,eth,4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF,
AAVE,Aave Token (Wormhole from Ethereum),{'sol': '3vAs4D1WE6Na4tCgt4BApgFfENbm8WY7q4cSPD1yM4Cg'},0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,aave,,,,,,,,,,,,,,eth,3vAs4D1WE6Na4tCgt4BApgFfENbm8WY7q4cSPD1yM4Cg,['dexlab']
AKRO,Akropolis (Wormhole from Ethereum),{'sol': '12uHjozDVgyGWeLqQ8DMCRbig8amW5VmvZu3FdMMdcaG'},0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,akropolis,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/G3h8NZgJozk9crme2me6sKDJuSQ12mNCtvC9NbSWqGuk/logo.png,,,,,,,,,,,,,eth,12uHjozDVgyGWeLqQ8DMCRbig8amW5VmvZu3FdMMdcaG,['dexlab']
AXSet,Axie Infinity Shard (Wormhole from Ethereum),"{'sol': 'HysWcbHiYY9888pHbaqhwLYZQeZrcQMXKQWRqS7zcPK5', 'bsc': '0x556b60c53fbC1518Ad17E03d52E47368dD4d81B3'}",0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,axie-infinity,https://etherscan.io/token/images/axieinfinityshard_32.png,,,,,0x556b60c53fbC1518Ad17E03d52E47368dD4d81B3,,,,,,,,eth,HysWcbHiYY9888pHbaqhwLYZQeZrcQMXKQWRqS7zcPK5,"['raydium', 'francium']"
BUSDet,Binance USD (Wormhole from Ethereum),"{'sol': '33fsBLA8djQm82RpHmE3SuVrPGtZBWNYExsEUeKX1HXX', 'bsc': '0x035de3679E692C471072d1A09bEb9298fBB2BD31'}",0x4fabb145d64652a948d72533023f6e7a623c7c53,binance-usd,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/33fsBLA8djQm82RpHmE3SuVrPGtZBWNYExsEUeKX1HXX/logo.png,,,,,0x035de3679E692C471072d1A09bEb9298fBB2BD31,,,,,,,,eth,33fsBLA8djQm82RpHmE3SuVrPGtZBWNYExsEUeKX1HXX,"['saber', 'sunny']"
CREAM,Cream (Wormhole),{'sol': 'HihxL2iM6L6P1oqoSeiixdJ3PhPYNxvSKH9A2dDqLVDH'},0x2ba592f78db6436527729929aaf6c908497cb200,cream,,,,,,,,,,,,,,eth,HihxL2iM6L6P1oqoSeiixdJ3PhPYNxvSKH9A2dDqLVDH,['dexlab']
DAI,DAI (Wormhole),"{'sol': 'EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o', 'bsc': '0x3413a030EF81a3dD5a302F4B4D11d911e12ed337', 'terra': 'terra1zmclyfepfmqvfqflu8r3lv6f75trmg05z7xq95'}",0x6b175474e89094c44da98b954eedeac495271d0f,dai,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,,,terra1zmclyfepfmqvfqflu8r3lv6f75trmg05z7xq95,,0x3413a030EF81a3dD5a302F4B4D11d911e12ed337,,,,,,,,eth,EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o,"['saber', 'mercurial', 'jupiter', 'sunny']"
DYDX,dYdX (Wormhole),{'sol': '4Hx6Bj56eGyw8EJrrheM6LBQAvVYRikYCWsALeTrwyRU'},0x92d6c1e31e14520e676a687f0a93788b716beff5,dydx,https://etherscan.io/token/images/dydx2_32.png,,,,,,,,,,,,,eth,4Hx6Bj56eGyw8EJrrheM6LBQAvVYRikYCWsALeTrwyRU,"['raydium', 'francium']"
ETH,Ether (Wormhole),"{'sol': '7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs', 'bsc': '0x4DB5a66E937A9F4473fA95b1cAF1d1E1D62E29EA', 'terra': 'terra14tl83xcwqjy0ken9peu4pjjuu755lrry2uy25r', 'matic': '0x11CD37bb86F65419713f30673A480EA33c826872', 'avax': '0x8b82A291F83ca07Af22120ABa21632088fC92931'}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs/logo.png,,,terra14tl83xcwqjy0ken9peu4pjjuu755lrry2uy25r,['loop'],0x4DB5a66E937A9F4473fA95b1cAF1d1E1D62E29EA,['pancakeswap'],0x11CD37bb86F65419713f30673A480EA33c826872,['quickswap'],0x8b82A291F83ca07Af22120ABa21632088fC92931,,,,eth,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,"['orca', 'saber', 'tulip', 'port', 'sunny', 'francium', 'raydium', 'atrix', 'dexlab']"
FRAX,Frax (Wormhole),{'sol': 'FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp'},0x853d955acef822db058eb8505911ed77f175b99e,frax,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp/logo.png,,,,,,,,,,,,,eth,FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp,"['saber', 'sunny']"
FTT,FTX Token (Wormhole),"{'sol': 'EzfgjvkSwthhgHaceR3LnKXUoRkP6NUhfghdaHAj1tUv', 'bsc': '0x49BA054B9664e99ac335667a917c63bB94332E84'}",0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,ftx-token,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EzfgjvkSwthhgHaceR3LnKXUoRkP6NUhfghdaHAj1tUv/logo.png,,,,,0x49BA054B9664e99ac335667a917c63bB94332E84,,,,,,,,eth,EzfgjvkSwthhgHaceR3LnKXUoRkP6NUhfghdaHAj1tUv,"['saber', 'almond', 'tulip', 'mercurial', 'sunny', 'dexlab']"
FXS,Frax Share (Wormhole),{'sol': '6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct'},0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,frax-share,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct/logo.png,,,,,,,,,,,,,eth,6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct,
GRT,Graph Token (Wormhole from Ethereum),{'sol': 'HGsLG4PnZ28L8A4R5nPqKgZd86zUUdmfnkTRnuFJ5dAX'},0xc944E90C64B2c07662A292be6244BDf05Cda44a7,the-graph,,,,,,,,,,,,,,eth,HGsLG4PnZ28L8A4R5nPqKgZd86zUUdmfnkTRnuFJ5dAX,['dexlab']
HBTC,Huobi BTC (Wormhole),{'sol': '7dVH61ChzgmN9BwG4PkzwRP8PbYwPJ7ZPNF2vamKT2H8'},0x0316eb71485b0ab14103307bf65a021042c6d380,huobi-btc,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7dVH61ChzgmN9BwG4PkzwRP8PbYwPJ7ZPNF2vamKT2H8/logo.png,,,,,,,,,,,,,eth,7dVH61ChzgmN9BwG4PkzwRP8PbYwPJ7ZPNF2vamKT2H8,['saber']
HUSD,HUSD Stablecoin (Wormhole),{'sol': '7VQo3HFLNH5QqGtM8eC3XQbPkJUu7nS9LeGWjerRh5Sw'},0xdf574c24545e5ffecb9a659c229253d4111d87e1,husd,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7VQo3HFLNH5QqGtM8eC3XQbPkJUu7nS9LeGWjerRh5Sw/logo.png,,,,,,,,,,,,,eth,7VQo3HFLNH5QqGtM8eC3XQbPkJUu7nS9LeGWjerRh5Sw,"['saber', 'sunny']"
LDO,Lido DAO (Wormhole),"{'bsc': '0x986854779804799C1d68867F5E03e601E781e41b', 'sol': 'HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p', 'terra': 'terra1jxypgnfa07j6w92wazzyskhreq2ey2a5crgt6z'}",0x5a98fcbea516cf06857215779fd812ca3bef1b32,lido-dao,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p/logo.png,,,terra1jxypgnfa07j6w92wazzyskhreq2ey2a5crgt6z,,0x986854779804799C1d68867F5E03e601E781e41b,,,,,,,,eth,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,
LINK,Chainlink (Wormhole),"{'sol': '2wpTofQ8SkACrkZWrZDjXPitYa8AwWgX8AfxdeBRRVLX', 'terra': 'terra12dfv3f0e6m22z6cnhfn3nxk2en3z3zeqy6ctym'}",0x514910771af9ca656af840dff83e8264ecf986ca,chainlink,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/2wpTofQ8SkACrkZWrZDjXPitYa8AwWgX8AfxdeBRRVLX/logo.png,,,terra12dfv3f0e6m22z6cnhfn3nxk2en3z3zeqy6ctym,,,,,,,,,,eth,2wpTofQ8SkACrkZWrZDjXPitYa8AwWgX8AfxdeBRRVLX,"['atrix', 'dexlab']"
MANA,Decentraland (Wormhole),{'sol': '7dgHoN8wBZCc5wbnQ2C47TDnBMAxG4Q5L3KjP67z8kNi'},0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,decentraland,https://assets.coingecko.com/coins/images/878/thumb/decentraland-mana.png,,,,,,,,,,,,,eth,7dgHoN8wBZCc5wbnQ2C47TDnBMAxG4Q5L3KjP67z8kNi,"['raydium', 'francium']"
MIMet,Magic Internet Money (Wormhole from Ethereum),"{'sol': 'HRQke5DKdDo3jV7wnomyiM8AA3EzkVnxMDdo2FQ5XUe1', 'terra': 'terra15a9dr3a2a2lj5fclrw35xxg9yuxg0d908wpf2y'}",0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,magic-internet-money,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/HRQke5DKdDo3jV7wnomyiM8AA3EzkVnxMDdo2FQ5XUe1/logo.png,,,terra15a9dr3a2a2lj5fclrw35xxg9yuxg0d908wpf2y,,,,,,,,,,eth,HRQke5DKdDo3jV7wnomyiM8AA3EzkVnxMDdo2FQ5XUe1,
ORION,Orion Money (Wormhole from Ethereum),"{'terra': 'terra1mddcdx0ujx89f38gu7zspk2r2ffdl5enyz2u03', 'bsc': '0x3dcB18569425930954feb191122e574b87F66abd', 'matic': '0x5E0294Af1732498C77F8dB015a2d52a76298542B'}",0x727f064a78dc734d33eec18d5370aef32ffd46e4,orion-money,https://assets.coingecko.com/coins/images/18630/small/YtrqPIWc.png,,,terra1mddcdx0ujx89f38gu7zspk2r2ffdl5enyz2u03,,0x3dcB18569425930954feb191122e574b87F66abd,,0x5E0294Af1732498C77F8dB015a2d52a76298542B,,,,,,eth,,
PAXG,Paxos Gold (Wormhole),{'sol': 'C6oFsE8nXRDThzrMEQ5SxaNFGKoyyfWDDVPw37JKvPTe'},0x45804880de22913dafe09f4980848ece6ecbaf78,pax-gold,,,,,,,,,,,,,,eth,C6oFsE8nXRDThzrMEQ5SxaNFGKoyyfWDDVPw37JKvPTe,['dexlab']
RSR,Reserve Rights (Wormhole),{'sol': 'DkbE8U4gSRuGHcVMA1LwyZPYUjYbfEbjW8DMR3iSXBzr'},0x8762db106B2c2A0bccB3A80d1Ed41273552616E8,reserve-rights-token,,,,,,,,,,,,,,eth,DkbE8U4gSRuGHcVMA1LwyZPYUjYbfEbjW8DMR3iSXBzr,['dexlab']
SAND,The Sandbox (Wormhole),{'sol': '49c7WuCZkQgc3M4qH8WuEUNXfgwupZf1xqWkDQ7gjRGt'},0x3845badAde8e6dFF049820680d1F14bD3903a5d0,the-sandbox,https://gemini.com/images/currencies/icons/default/sand.svg,,,,,,,,,,,,,eth,49c7WuCZkQgc3M4qH8WuEUNXfgwupZf1xqWkDQ7gjRGt,"['raydium', 'francium']"
